,article,level,document_id,aggr_document_id,question_1,idx_q1,question_2,idx_q2,options_1,options_2,LB,EL,Turker,sum,label,agreement,id_q1,A_q1,B_q1,C_q1,D_q1,max_2nd_diff_q1,max_others_diff_q1,scores_var_q1,max_score_q1,id_q2,A_q2,B_q2,C_q2,D_q2,max_2nd_diff_q2,max_others_diff_q2,scores_var_q2,max_score_q2
0,"The literal meaning of philosophy is ""love of wisdom"". But this meaning does not tell us very much. Unlike the other disciplines ,philosophy cannot be defined by what you study, because it is actually unlimited. Anything can be the subject matter of philosophy: art, history, law, language, literature, mathematics, medicine, psychology, religion, science, and values. Philosophy is one of the world's oldest subjects of study, and in fact, the other academic disciplines are directly related to philosophy. For this reason you get a Doctorate  of Philosophy (Ph.D.) in biochemistry, or computer science, or psychology.
Two broad sub-fields of philosophy are logic and the history of philosophy. Logic is the science of argument and critical thinking. It provides sound methods for distinguishing good from bad reasoning. The history of philosophy involves the study of major philosophers and periods in the development of philosophy.
Of what use is philosophy? First it is useful in educational advancement. It is necessary for understanding other disciplines.  Only philosophy questions the nature of the concepts used in a discipline, and its relation to other disciplines. And through the study of philosophy, one develops sound methods of research and analysis that can be applied to any field.
There are a number of general uses of philosophy. It strengthens one's ability to solve problems, to communicate, to organize ideas and issues, to persuade, and to take what is the most important from a large quantity of data.These general uses are of great benefit in the career field, not necessarily for obtaining one's first job after graduation, but for preparing for positions of responsibility, management and leadership later on. It is very short-sighted after all, to take a course of studies only for the purpose of getting one's first job. The useful skills developed through the study of philosophy have significant long-term benefits in career advancement. No other discipline systematically follows the ideals of wisdom, leadership, and capacity to resolve human conflict.",high,10466.txt,high10466.txt,"According to the passage, which of the following statements is TRUE?",1,"From the passage, we can conclude  _  .",2,"['Philosophy is an independent discipline.', 'Logic helps you to become a better thinker.', 'The study of philosophy brings you immediate benefits.', 'The meaning of philosophy is too limited to define.']","['not all the subjects have to do with philosophy', 'a person will get a Ph.', 'philosophy can be helpful for the study of any other subjects', 'philosophy is the only solution to all the problems to the world']",1,1,2,4,1,2,1,0.18344645431644474,0.5294517013818367,0.22228538656482694,0.0648164577368916,0.3071663148170098,0.3726022685091157,0.02939591799280746,0.5294517013818367,2,0.8568322132457421,0.011553030004540448,0.13132203301664472,0.00029272373307266116,0.7255101802290974,0.8091096176609895,0.12538511905017283,0.8568322132457421
1,"Every child has written their names on the beach at some point.
But whereas most people's ""handwriting"" is washed away, one super-rich Arab sheikh  has ensure that his graffiti  will last a little longer.
Hamad Bin Hamdan Al Nahyan, 63, has scrawled his name in sand on an island he owns with letters so big that they be seen from space.
The word ""HAMAD"" measures 1,000 meters high and is a staggering two miles long from the ""H"" to the ""D"" on the Al Futaisi Island.
And rather than allow the writing to be washed away by the ocean, the letters actually form waterways that absorb the encroaching  tide. The ruler's name is even visible on Google's map service.
Hamad dreamed up the idea and had his workmen work hard for weeks to craft the enormous piece of sand graffiti. It is not known how much it cost to make.
However, the sheikh boasts a personal fortune second to the Saudi king's.
Hamad, also known as the ""Rainbow Sheikh"", is a member of the Abu Dhabi Ruling Family.
He is understood to have some 200 cars including seven Mercedes 500 SELs painted in different colors of the rainbow which he stores in a giant pyramid.
The Arab sheikh had a taste for doing things on a large scale. He built the world's largest truck--eight times the size of the Dodge Power Wagon, with four bedrooms inside the cabin.
Hamad constructed a motor home in the shape of a giant globe which is exactly 1 millionth the size of the actual earth.
Alongside his displays of wealth he has become a well-known philanthropist  in medicine and supplied a complete Kinney stone operating theatre to a public hospital in Morocco where he continues to fund its stuff.",high,1104.txt,high1104.txt,Why does Hamad have his seven Mercedes-Benz500 SELs painted in different colors?,1,Which of the following might be the best title for the passage?,2,"['Perhaps he hoped his cars were stored in a giant pyramid safely.', 'In some ways he could make a very strange rainbow.', 'Maybe he just wanted to show off his wealth.', 'He is always interested in making his cars like these.']","[""The Rainbow Sheikh's name can be seen from space"", ""The richest Arab sheikh's name has made many funny things"", 'A great person likes doing things on a large scale', 'A well-known philanthropist displays his wealth']",1,1,2,4,1,2,1,0.13899760699324953,0.6767108455938753,0.18361675307420386,0.0006747943386714331,0.4930940925196714,0.568947794125167,0.06524336766278505,0.6767108455938753,2,0.6795744554837415,0.03894053526364757,0.0006847697541882382,0.2808002394984228,0.3987742159853187,0.5727659406449886,0.07304676231115774,0.6795744554837415
2,"Tom appeared on the sidewalk with a bucket of whitewash and a long-handled brush. He stopped by the fence in front of the house where he lived with his aunt Polly. He looked at it, and all joy left him. The fence was long and high. He put the brush into the whitewash and moved it along the top of the fence. He repeated the operation. He felt he could not continue and sat down.
He knew that his friends would arrive soon with all kinds of interesting plans for the day. They would walk past him and laugh. They would make jokes about his having to work on a beautiful summer Saturday. The thought burned him like fire.
He put his hand into his pockets and took out all that he owned. Perhaps he could find some way to pay someone to do the whitewashing for him. But there was nothing of value in his pockets --nothing that could buy even half an hour of freedom. So he put the bits of toys back into his pockets and gave up the idea
At this dark and hopeless moment, a wonderful idea came to him. It filled his mind with a great, bright light. Calmly he picked up the brush and started again to whitewash.
While Tom was working, Ben Rogers appeared. Ben was eating an apple as he walked along the street. As he walked along, he was making noises like the sound of a riverboat. First he shouted loudly, like a boat captain. Then he said ""Ding-Dong-Dong"", ""Ding-Dong-Dong"" again and again, like the bell of a riverboat. And he made other strange noises. When he came close to Tom, he stopped.
Tom went on whitewashing. He did not look at Ben. Ben stared a moment and then said: ""Hello! I'm going swimming, but you can't go, can you?""
No answer. Tom moved his brush carefully along the fence and looked at the result with the eye of an artist. Ben came nearer. Tom's mouth watered for the apple, but he kept on working.
Ben said, ""Hello, old fellow, you've got to work, hey?""
Tom turned suddenly and said, ""Why, it's you, Ben! I wasn't noticing.""
""Say --I'm going swimming. Don't you wish you could? But of course you'd rather work -- wouldn't you? Of course you would.""
Tom looked at the boy a bit, and said ""What do you call work?""
""Why, isn't that work?""
Tom went back to his whitewashing, and answered carelessly.
""Well, maybe it is, and maybe it isn't. All I know is, it suits Tom Sawyer.""
""Oh come, now, you don't mean to say that you like it?""
The brush continued to move.
""Like it? Well, I don't see why I shouldn't like it. Does a boy get a chance to whitewash a fence every day?""
Ben stopped eating his apple. Tom moved his brush back and forth, stepped back to look at the result, added a touch here and there, and stepped back again. Ben watched every move and got more and more interested. Soon he said,
""Say, Tom, let me whitewash a little.""
Tom thought for a moment, was about to agree; but he changed his mind.
""No --no --it won't do, Ben. You see, Aunt Polly wants this fence to be perfect. It has got to be done very carefully. I don't think there is one boy in a thousand, maybe two thousand, that can do it well enough.""
""No --is that so? Oh come, now --let me just try. Only just a little."" ""Ben, I'd like to, but if it isn't done right, I'm afraid Aunt Polly ... ""
""Oh, I'll be careful. Now let me try. Say --I'll give you the core of my apple.""
""Well, here --No, Ben, now don't. I'm afraid ...""
""I'll give you all of it.""
Tom gave up the brush with unwillingness on his face, but joy in his heart. And while Ben worked at the fence in the hot sun, Tom sat under a tree, eating the apple, and planning how to get more help. There were enough boys. Each one came to laugh, but remained to whitewash. By the time Ben was tired, Tom sold the next chance to Billy for a kite; and when Billy was tired, Johnny bought in for a dead rat --and so on, hour after hour. And when the middle of the afternoon came, Tom had won many treasures.
And he had not worked. He had had a nice idle time all the time, with plenty of company -and the fence had been whitewashed three times. If he hadn't run out of whitewash, Tom would have owned everything belonging to his friends.
He had discovered a great law of human action, namely, that in order to make a man or a boy want a thing, it is only necessary to make the thing difficult to get.",high,1171.txt,high1171.txt,Why did Tom take all his bits of toys out of his pockets?,1,Which of the following is the most suitable title for this passage?,5,"['Because he is tired and wanted to play with his toys.', 'Because he wanted to throw his toys away.', 'Because he wanted to know if he could buy help with his toys.', 'Because he wanted to give his toys to his friends.']","['Tom And His Fellows', 'The Happy Whitewasher', 'Whitewashing A Fence', 'How To Make The Things Difficult To Get']",2,2,2,6,2,3,1,0.05776747216072285,0.1398523668298029,0.6416063444809608,0.16077381652851355,0.48083252795244724,0.522141792641281,0.05260067167677576,0.6416063444809608,5,0.00193330634460266,0.6004985488780884,0.3965201558179317,0.0010479889593772336,0.2039783930601567,0.46733139850411787,0.06695789428221195,0.6004985488780884
3,"In the decade of the 1970s, the United Nations organized several important meetings on the human environment to study a very serious problem.We humans are destroying the world around us.We must learn to protect them, or life will be very bad for our children and grandchildren.
There are several major aspects to this problem.
Population
Most problems of the environment come from population growth.In 1700 there were 635 million people in the world; in 1900 there were 1.6 billion; in 1950, 2.5 billion; and in 1980, 4.4 billion.In the year 2010 there will be 7.3 billion.More people need more water, more food, more wood, and more petroleum.
Distribution
Scientists say there is enough water in the world for everyone, but some countries have a lot of water and some have only a little.Some areas get all rain during one season.The rest of the year is dry.
Petroleum
We are using up the world's petroleum.We use it in our cars and to heat our buildings in winter.Farmers use petrochemicals to make the soil rich.They use them to kill insects on those plants.These chemicals go into rivers and lakes and kill the fish there.Thousands of people also die from these chemicals every year.Chemicals also go into the air and pollute it.Winds carry this polluted air to other countries and other countries.
Poverty
Poor farmers use the same land over and over.The land needs a rest so it will be better next year.However, the farmer must have food every year.Poor people cut down trees for firewood.In some areas when the trees are gone, the land becomes desert.However, people need wood to cook their food now.Poor people cannot save the environment for the future.
We now have the information and the ability to solve these huge problems.However, this is not a problem for one country or one area of the world.It is a problem for all humans.The people and the nation of the world must work together to protect the world's resources.No one controls the future, but we all help make it.",high,11813.txt,high11813.txt,Good distribution means   _  .,1,The best title of the passage should be   _,2,"['having things in the right place at the right time.', 'cutting down forests and selling them to other countries.', 'building water systems to carry water to farms.', 'conserving our natural resources']","['The World Being Destroyed', 'A Serious Problem We Should Pay Attention to', 'Aspects That Destroyed Our World', ""Conserving the World's Natural Resources""]",1,2,1,4,1,2,1,0.9764283772130486,1.90824239863742e-05,0.0009281936509059566,0.02262434671205905,0.9538040305009896,0.9685711696173982,0.17598127469966188,0.9764283772130486,2,0.0011534581857627374,0.9970136060463158,0.00103493445945332,0.0007980013084680858,0.9958601478605531,0.9960181413950878,0.18600979225067205,0.9970136060463158
4,"Instagram is a fast,beautiful and fun way to share your life with friends and family.Take a picture or video,choose a filter to transform its look and feel.and then post to Instagram--it's that easy.You can even share to Facebook.Twitter and more.It's a new way to see the world.So many photos of food are contained on Instagram--now a pop-up diner in London is taking advantage of this new trend by letting people settle the bill for their meals simply by uploading photos of their dishes to social networks.
I always thought people's taking pictures of their food was kind of silly, but at this new pop-up restaurant in the UK,I'd probably do it too.""The Picture House""is the world's first pay-by-photo restaurant--you order, click a photo of the food,share on Instagram and eat for free!
The restaurant belongs to frozen food giant Birds Eye,who came up with the idea to cash in on people's addiction with photographing food and sharing the pictures online. They conducted a survey and found out that more than half of the British population regularly took pictures of their meals.So they realized it was a better way to advertise their new dining range.
The pop-up diner was open in Soho,London for three days in May,and is now moving to other major UK cities.They serve two-course meals that customers don't have to pay for, if they photo and lnstagram it.
The restaurant is a part of Birds Eye's""Food for Life""campaign,a new marketing project that aims at changing the way people look at frozen food.""Taking photos of food enables people to show off and to share their mealtime moments--from the everyday to the special,""said marketing director Margaret Jobling.
The reaction to The Picture House has been great so far And the pay-by-picture concept has proven to be an effective way.Alternative payment methods are actually gaining popularity among a lot of businesses.Last year in a cafe in Germany customers pay by how much time they spend there,not by what they eat.",high,11977.txt,high11977.txt,Instagram probably is  _  .,0,"""The Picture House""encourages sharing photos of its food to  _  .",2,"['a restaurant free of chmge', 'a campaign of""Food for Life\'\'', 'a program used to share photos', 'a new marketing project']","['raise the price of frozen food', 'attract more customers', 'create a new social media trend', 'reward the regular customers']",2,2,2,6,2,3,0,0.004947866190823165,0.042743316837601485,0.8642473336258977,0.08806148334567758,0.7761858502802201,0.8189964448345303,0.12663243776065916,0.8642473336258977,2,0.006496322743892856,0.9793784148738194,0.0016952554392705244,0.012430006943017059,0.9669484079308023,0.9725045531650925,0.17734541517338895,0.9793784148738194
5,"Have you ever wanted to feel like you were in a western film? Or maybe you wanted to feel like you were a pioneer traveling the west? It is possible to experience such things during a Wild West vacation! Here are four of the best Wild West vacation locations available:
Walk the Lewis and Clark Trail
Walk some or all of the 3,700 miles trail that was traversed by Mariwether Lewis and William Clark, two of the world's greatest explorers. Though not all the trails are marked, there are various stops that have been preserved by various historic societies. There is also a coach   that makes a 16-day _ following the trail. This begins in St. Louis, Missouri, and ends in Astoria, Oregon.
Venture Route 66
Take a tour or go to see it yourself -- ride on the famous Route 66. The road is nearly 2,500 miles long. Harley Davidson offers motorcycle tours that last two weeks. Route 66 will provide an experience that may only be found on the open road. The historic road is still well taken care of.
Visit the Grand Canyon
Visit the greatest canyon in the world, located in Northern Arizona. Raft down the Colorado River, or hike the various trails that run throughout the canyon. If walking is not your thing, there are donkey and horse riding adventures available. In addition, there are motorized boats that float down through the canyon in a week's time.
Visit Deadwood
Located in South Dakota, Deadwood is a historic landmark. It is the kind of town that comes to mind when one thinks of an old western film. Actors who act as gunslingers   will often be seen in the streets playing their roles. Winter activities are popular in this old town, and there is always something to do.",high,1229.txt,high1229.txt,If you want to hike various trails you are advised to  _  .,1,What do we know from the passage?,2,"['visit the Grand Canyon', 'visit Deadwood', 'venture Route 66', 'walk the Lewis and Clark Trail']","[""A number of historic stops aren't protected well."", 'William Clark was a pioneer who explored the west.', 'Western films are the most popular among Americans.', 'None of the trails in the west are marked.']",2,2,2,6,2,3,1,0.008511227002320376,0.0011376093727529224,0.23128407172993,0.7590670918949968,0.5277830201650667,0.6787561225266624,0.0949372267435182,0.7590670918949968,2,0.0756817095979568,0.9215151702174472,0.0017783284419884942,0.0010247917426075026,0.8458334606194904,0.8953535602899296,0.15123053568968087,0.9215151702174472
6,"One day, I was studying at home . Suddenly, there was a loud noise.  I went out of my house to see what had happened .
What I saw made me scared. A building in my neighborhood was on fire. Some people were using water to put out the fire; others were rushing towards the building to help put out the fire. The building had three floors. The fire started on the first floor. Soon, it spread   to the second floor. There were some people on the second floor at that time. Their lives were in danger. A few people jumped out of the window. Luckily, they only got small injuries. Those who were still on the second floor were just crying for help. The people outside didn't know how to help the people inside to get out.
Firefighters   arrived at last. They fought the fire bravely. Water pipes   were used and a ladder was put near the second-floor window. Then the people inside were taken out by the firefighters. They were seriously injured and were taken to the hospital at once.
Thanks to the firefighters, the people inside were saved and the fire was put out in the end, but many things, such as desk, pictures and clothes, were damaged.",high,12719.txt,high12719.txt,_  was on fire.,0,How did the people who didn't jump out of the window get out of the building?,3,"[""The author's room"", 'A ladder', ""A building in the author's neighborhood"", 'Only the second floor of the building']","['They were taken out by the firefighters.', 'They climbed down a ladder by themselves.', 'They walked out of the building after the fire was put out.', 'They were taken out by doctors']",2,2,2,6,2,3,0,2.133594097014914e-06,4.8408045997761885e-06,0.9999902005384173,2.825062885967223e-06,0.9999853597338175,0.999986934051223,0.18749510030220765,0.9999902005384173,3,0.9987109454305036,0.0006607208739042551,0.0003930924919961727,0.00023524120359594785,0.9980502245565994,0.9982812605740049,0.18685604973372366,0.9987109454305036
7,"If you're among the millions of Americans packing their vacation bags for summer trips,don't forget,however, that as soon as you step off the plane,you're expected to follow that country's laws.We took a look at one of the top countries Americans are most likely to visit and what might happen if you got caught.
prefix = st1 /Mexico
Smoking marijuana:If police find you smoking a cigarette which contains marijuana,they will most likely  _ you overnight and you will get a fine.
Carrying a firearm:You might be able to walk around with a gun in Texas,but that isn't so in Mexico,so leave your gun behind.If you wish to go hunting in Mexico.you can apply for a gun permit but expect to be charged $5,000.If you are caught bringing a firearm,Mexican policeman may take away your car and arrest you.An arrested American may spend months in prison while his or her case is being looked into.
Driving 70 mph on the highway:Speed limits are on the lower side.Depending on what type of highway you're driving on,you shouldn't go faster than 62 mph.The police enforce the speed limit,but most local police don't have radars.The maximum fine for speeding is about $40.To scare tourists into paying the fine ""on the spot"",sometimes police will threaten to keep your driver's license.This is illegal, so call them on it.",high,16823.txt,high16823.txt,"If the travelers want to drive in Mexico, they should_.",2,What can we know from the passage?,3,"['drive on the lower side of the street', 'keep an eye out on the radars', 'limit their car speed', 'pay the fine on the spot']","['Different countries have different regulations.', 'Different countries have the same regulations.', 'Americans like to visit other countries.', ""Mexico police aren't friendly.""]",2,2,2,6,2,3,2,0.033869677249762795,0.5575675430648862,0.3816373133319129,0.026925466353438208,0.1759302297329733,0.4100900574198483,0.052100184945491894,0.5575675430648862,3,0.9994121427442341,0.00031668770011642356,0.00020672939625325545,6.44401593963342e-05,0.9990954550441177,0.9992161903256455,0.18720619456132453,0.9994121427442341
8,"Do you want to write your password down so that no one can see it, or do you want to send someone a secret message? Knowing how to make an invisible ink message will have you feeling like a secret agent in no time. These are instructions for making invisible ink using baking soda.
Difficulty: Easy
Time required: A few minutes 
What you need:
Baking soda, Paper, Water, Light bulb, Paintbrush, Measuring cup, Purple grape juice
Here's how:
There are at least two methods of using baking soda as invisible ink. Mix equal amounts of water and baking soda.
Use a paintbrush to write a message onto white paper, using the baking soda solution   as ""ink"".
Allow the ink to dry.
One way to read the message is to hold the paper up to a heat source, such as a light bulb. The baking soda will cause the writing in the paper to turn brown.
The second way to read the message is to paint over the paper with purple grape juice. The message will appear in a different color1.
Tips:
If you are using the heating method, avoid burning the paper.
Baking soda and grape juice react in an acid-base   reaction, producing a color1 change in the paper.
Grape juice concentrate   results in a more visible color1 change than regular grape juice.",high,17032.txt,high17032.txt,What's the function of the paintbrush?,1,How can you read the message in invisible ink easily?,2,"['To draw a picture.', 'To allow the ""ink"" to appear.', 'To write a message onto the white paper.', 'To help the ""ink"" dry.']","['read it in the daytime', 'read it near a heater', 'Put it in hot water', 'put it in a fridge']",2,1,2,5,2,2,1,1.2423375039149933e-05,0.0003257023542423115,0.9932636189669024,0.006398255303816053,0.9868653636630863,0.9910181586225365,0.18415341516763117,0.9932636189669024,2,0.03190893279037573,0.3675608284475155,0.5831586721875667,0.017371566574542186,0.2155978437400512,0.44421156291675556,0.05662373771841605,0.5831586721875667
9,"Kabul,Oct.28 (Xinhuanet)--- Unknown armed men in military uniform kidnapped  three staff of the United Nations in the Afghan capital city at broad daylight Thursday ,Afghan officials confirmed  .
""Three armed men in military uniform  _ a UN car in Baraki area ofprefix = st1 /Kabulcity early afternoon and took away three persons including two women with them, ""Rohullah, a witness at the site told Xinhua.
The kidnappers also badly beat up the Afghan driver of the UN car, added Rohullah who is a lorry driver in the city. The area has been watched over by UN guards.
UN officials as well as Afghan confirmed the incident but refused to provide further information. The three kidnapped , according to some officials , who are from Britain, Ireland and Kosovo, were working for the UN-sponsored Joint Electoral Management Body (JEMB) overseeing the first presidential elections held on Oct.9 across Afghanistan and in Iran and Pakistan.
This is the first time that such an incident has taken place in the Afghan capital over the last three years
So far, no one has claimed responsibility for the kidnapping. However, remnants  of the former Taliban regime who failed to stop the great presidential elections have promised to continue holy war   until the US-led troops leave Afghanistan.",high,17194.txt,high17194.txt,When did this kidnapping take place?,0,Which of the following description is not correct ?,3,"['At night', 'In the daytime', 'Early in the morning', 'at dawn']","['The three kidnapped persons were in Afghan waiting for the coming election.', 'No UN staff had been kidnapped before this kidnapping', 'It is still uncertain who started this kidnapping, though there is some clue.', 'The US-led troops are disliked by the remnants of the former Taliban regime.']",2,2,2,6,2,3,0,0.00023303850825113028,0.9472376600999112,0.02907701118033876,0.02345229021149892,0.9181606489195724,0.9296502134665482,0.1621636803784618,0.9472376600999112,3,0.4840470465834138,0.2921013746174437,0.055577441362946914,0.16827413743619554,0.19194567196597012,0.3120627287778851,0.025257448419468306,0.4840470465834138
